Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
4,max_verstappen,Max,Verstappen,Red Bull,5,1:42.642,,
4,raikkonen,Kimi,Räikkönen,Ferrari,6,1:42.538,,
4,ocon,Esteban,Ocon,Force India,7,1:43.021,,
4,perez,Sergio,Pérez,Force India,8,1:43.992,,
4,hulkenberg,Nico,Hülkenberg,Renault,9,1:43.746,,
4,sainz,Carlos,Sainz,Renault,10,1:43.426,,
4,stroll,Lance,Stroll,Williams,11,1:44.359,,
4,sirotkin,Sergey,Sirotkin,Williams,12,1:44.261,,
4,alonso,Fernando,Alonso,McLaren,13,1:44.010,,
4,leclerc,Charles,Leclerc,Sauber,14,1:43.752,,
4,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,15,1:43.674,,
4,vandoorne,Stoffel,Vandoorne,McLaren,16,1:44.489,,
4,gasly,Pierre,Gasly,Toro Rosso,17,1:44.496,,
4,ericsson,Marcus,Ericsson,Sauber,18,1:45.541,,
4,brendon_hartley,Brendon,Hartley,Toro Rosso,19,1:57.354,,
4,grosjean,Romain,Grosjean,Haas F1 Team,20,,,
5,hamilton,Lewis,Hamilton,Mercedes,1,1:17.633,,
5,bottas,Valtteri,Bottas,Mercedes,2,1:17.674,,
5,vettel,Sebastian,Vettel,Ferrari,3,1:17.031,,
5,raikkonen,Kimi,Räikkönen,Ferrari,4,1:17.483,,
5,max_verstappen,Max,Verstappen,Red Bull,5,1:17.411,,
5,ricciardo,Daniel,Ricciardo,Red Bull,6,1:17.623,,
5,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,7,1:18.169,,
5,alonso,Fernando,Alonso,McLaren,8,1:18.276,,
5,sainz,Carlos,Sainz,Renault,9,1:18.480,,
5,grosjean,Romain,Grosjean,Haas F1 Team,10,1:18.305,,
5,vandoorne,Stoffel,Vandoorne,McLaren,11,1:18.885,,
5,gasly,Pierre,Gasly,Toro Rosso,12,1:18.550,,
