Round,Driver ID,Mean,StdDev,Year
15,perez,28.293000000000003,3.4357865183972067,2018
15,raikkonen,29.513,0.0,2018
15,ricciardo,28.779,0.0,2018
15,sainz,30.242,0.0,2018
15,sirotkin,32.2495,2.506693539306311,2018
15,stroll,28.767,0.0,2018
15,vandoorne,30.234,0.0,2018
15,vettel,28.722,0.0,2018
16,alonso,30.348,0.0,2018
16,bottas,29.794,0.0,2018
16,brendon_hartley,29.418,0.0,2018
16,ericsson,30.0985,0.06717514421272247,2018
16,grosjean,30.469,0.0,2018
16,hamilton,29.551,0.0,2018
16,hulkenberg,30.625,0.0,2018
16,kevin_magnussen,29.904,0.0,2018
16,leclerc,30.397,0.0,2018
16,max_verstappen,29.37,0.0,2018
16,ocon,30.642,0.0,2018
16,perez,29.924,0.0,2018
16,raikkonen,29.531,0.0,2018
16,ricciardo,37.446,0.0,2018
16,sainz,30.021,0.0,2018
16,sirotkin,29.912,0.0,2018
16,stroll,29.266,0.0,2018
16,vandoorne,29.636,0.0,2018
16,vettel,29.798000000000002,0.0,2018
17,alonso,27.454,0.0,2018
17,bottas,22.777,0.0,2018
17,brendon_hartley,23.11,0.0,2018
17,ericsson,23.244,0.0,2018
17,gasly,23.376,0.0,2018
17,grosjean,23.692,0.0,2018
17,hamilton,22.614,0.0,2018
17,hulkenberg,23.555,0.0,2018
17,kevin_magnussen,29.007,0.0,2018
17,leclerc,32.7815,8.640137759318424,2018
17,max_verstappen,28.789,0.0,2018
17,ocon,23.316,0.0,2018
17,perez,23.635,0.0,2018
17,raikkonen,22.781,0.0,2018
17,ricciardo,22.864,0.0,2018
17,sainz,23.477,0.0,2018
17,sirotkin,23.6535,0.009192388155427559,2018
17,stroll,26.7305,4.346585383953706,2018
17,vandoorne,23.159,0.0,2018
17,vettel,22.748,0.0,2018
18,bottas,23.478,0.0,2018
18,brendon_hartley,23.819,0.0,2018
18,ericsson,23.94,0.0,2018
18,gasly,24.042,0.25031580054003855,2018
18,grosjean,35.104,0.0,2018
18,hamilton,23.804000000000002,0.1569777054234107,2018
18,hulkenberg,24.681,0.0,2018
18,kevin_magnussen,23.723,0.0,2018
18,leclerc,34.812,0.0,2018
18,max_verstappen,23.446,0.0,2018
18,ocon,24.534,0.0,2018
18,perez,25.723,0.0,2018
18,raikkonen,23.714,0.0,2018
18,sainz,29.319,0.0,2018
