Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code,Driver ID
9,13,Sirotkin,Sergey,Williams,0,1:08.971,225.381,+2 Laps,SIR,sirotkin
9,14,Stroll,Lance,Williams,0,1:09.203,224.626,+2 Laps,STR,stroll
9,15,Vandoorne,Stoffel,McLaren,0,1:08.894,225.633,Collision damage,VAN,vandoorne
9,16,Hamilton,Lewis,Mercedes,0,1:07.241,231.180,Fuel pressure,HAM,hamilton
9,17,Hartley,Brendon,Toro Rosso,0,1:09.171,224.730,Hydraulics,HAR,brendon_hartley
9,18,Ricciardo,Daniel,Red Bull,0,1:07.591,229.983,Exhaust,RIC,ricciardo
9,19,Bottas,Valtteri,Mercedes,0,1:09.044,225.143,Hydraulics,BOT,bottas
9,20,Hülkenberg,Nico,Renault,0,1:10.380,220.869,Engine,HUL,hulkenberg
10,1,Vettel,Sebastian,Ferrari,25,1:30.696,233.831,Finished,VET,vettel
10,2,Hamilton,Lewis,Mercedes,18,1:31.245,232.424,Finished,HAM,hamilton
10,3,Räikkönen,Kimi,Ferrari,15,1:30.795,233.576,Finished,RAI,raikkonen
10,4,Bottas,Valtteri,Mercedes,12,1:31.377,232.089,Finished,BOT,bottas
10,5,Ricciardo,Daniel,Red Bull,10,1:31.589,231.551,Finished,RIC,ricciardo
10,6,Hülkenberg,Nico,Renault,8,1:33.405,227.049,Finished,HUL,hulkenberg
10,7,Ocon,Esteban,Force India,6,1:33.606,226.562,Finished,OCO,ocon
10,8,Alonso,Fernando,McLaren,4,1:33.482,226.862,Finished,ALO,alonso
10,9,Magnussen,Kevin,Haas F1 Team,2,1:33.604,226.567,Finished,MAG,kevin_magnussen
10,10,Pérez,Sergio,Force India,1,1:33.472,226.887,Finished,PER,perez
10,11,Vandoorne,Stoffel,McLaren,0,1:33.551,226.695,Finished,VAN,vandoorne
10,12,Stroll,Lance,Williams,0,1:33.869,225.927,Finished,STR,stroll
10,13,Gasly,Pierre,Toro Rosso,0,1:33.465,226.904,Finished,GAS,gasly
10,14,Sirotkin,Sergey,Williams,0,1:34.620,224.134,Finished,SIR,sirotkin
10,15,Verstappen,Max,Red Bull,0,1:32.007,230.499,Brakes,VER,max_verstappen
10,16,Grosjean,Romain,Haas F1 Team,0,1:34.391,224.678,Collision,GRO,grosjean
10,17,Sainz,Carlos,Renault,0,1:34.602,224.177,Collision,SAI,sainz
10,18,Ericsson,Marcus,Sauber,0,1:33.675,226.395,Accident,ERI,ericsson
10,19,Leclerc,Charles,Sauber,0,1:35.209,222.747,Tyre,LEC,leclerc
10,20,Hartley,Brendon,Toro Rosso,0,,,Power Unit,HAR,brendon_hartley
11,1,Hamilton,Lewis,Mercedes,25,1:15.545,217.968,Finished,HAM,hamilton
11,2,Bottas,Valtteri,Mercedes,18,1:15.721,217.461,Finished,BOT,bottas
11,3,Räikkönen,Kimi,Ferrari,15,1:15.990,216.691,Finished,RAI,raikkonen
11,4,Verstappen,Max,Red Bull,12,1:15.852,217.085,Finished,VER,max_verstappen
11,5,Hülkenberg,Nico,Renault,10,1:17.910,211.351,Finished,HUL,hulkenberg
11,6,Grosjean,Romain,Haas F1 Team,8,1:16.716,214.641,Finished,GRO,grosjean
11,7,Pérez,Sergio,Force India,6,1:17.867,211.468,Finished,PER,perez
11,8,Ocon,Esteban,Force India,4,1:17.941,211.267,Finished,OCO,ocon
11,9,Ericsson,Marcus,Sauber,2,1:17.745,211.800,Finished,ERI,ericsson
