Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
10,2020,14,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,+1 Lap,1:38.858,212.960,3426.0,0,41.0
10,2020,15,norris,Norris,Lando,McLaren,mclaren,0,+1 Lap,1:37.377,216.198,114.0,0,0.0
10,2020,16,latifi,Latifi,Nicholas,Williams,williams,0,+1 Lap,1:41.044,208.352,0.0,0,0.0
10,2020,17,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:39.614,211.343,733.0,0,0.0
10,2020,18,russell,Russell,George,Williams,williams,0,+1 Lap,1:37.352,216.254,0.0,0,0.0
10,2020,19,sainz,Sainz,Carlos,McLaren,mclaren,0,Accident,,,426.0,0,0.0
10,2020,20,stroll,Stroll,Lance,Racing Point,racing_point,0,Collision,,,164.0,0,0.0
11,2020,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:28.145,210.253,6271.0,1,153.0
11,2020,2,max_verstappen,Verstappen,Max,Red Bull,red_bull,19,Finished,1:28.139,210.267,1516.0,0,12.0
11,2020,3,ricciardo,Ricciardo,Daniel,Renault,renault,15,Finished,1:29.584,206.876,1934.0,0,12.0
11,2020,4,perez,Pérez,Sergio,Racing Point,racing_point,12,Finished,1:29.700,206.608,1116.0,0,0.0
11,2020,5,sainz,Sainz,Carlos,McLaren,mclaren,10,Finished,1:30.129,205.625,436.0,0,0.0
11,2020,6,gasly,Gasly,Pierre,AlphaTauri,alphatauri,8,Finished,1:30.110,205.668,177.0,0,1.0
11,2020,7,leclerc,Leclerc,Charles,Ferrari,ferrari,6,Finished,1:30.712,204.303,366.0,0,2.0
11,2020,8,hulkenberg,Hülkenberg,Nico,Racing Point,racing_point,4,Finished,1:30.733,204.256,926.0,0,0.0
11,2020,9,grosjean,Grosjean,Romain,Haas F1 Team,haas,2,Finished,1:31.562,202.407,735.0,0,0.0
11,2020,10,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,1,Finished,1:30.909,203.861,17.0,0,0.0
11,2020,11,vettel,Vettel,Sebastian,Ferrari,ferrari,0,Finished,1:30.408,204.990,5427.0,0,100.0
11,2020,12,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,Finished,1:30.512,204.755,3426.0,0,41.0
11,2020,13,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Finished,1:30.456,204.881,239.0,0,0.0
11,2020,14,latifi,Latifi,Nicholas,Williams,williams,0,Finished,1:31.377,202.816,0.0,0,0.0
11,2020,15,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,0,Finished,1:32.214,200.975,317.0,0,0.0
11,2020,16,norris,Norris,Lando,McLaren,mclaren,0,Power Unit,1:32.328,200.727,114.0,0,0.0
11,2020,17,albon,Albon,Alexander,Red Bull,red_bull,0,Radiator,1:32.330,200.723,156.0,0,0.0
11,2020,18,ocon,Ocon,Esteban,Renault,renault,0,Gearbox,1:33.189,198.873,259.0,0,0.0
11,2020,19,bottas,Bottas,Valtteri,Mercedes,mercedes,0,Power Unit,1:31.884,201.697,2166.0,0,12.0
11,2020,20,russell,Russell,George,Williams,williams,0,Collision,1:34.526,196.060,0.0,0,0.0
12,2020,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,26,Finished,1:18.750,212.708,6297.0,1,154.0
12,2020,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:19.345,211.113,2184.0,0,12.0
12,2020,3,max_verstappen,Verstappen,Max,Red Bull,red_bull,15,Finished,1:19.854,209.767,1531.0,0,12.0
12,2020,4,leclerc,Leclerc,Charles,Ferrari,ferrari,12,Finished,1:20.408,208.322,378.0,0,2.0
12,2020,5,gasly,Gasly,Pierre,AlphaTauri,alphatauri,10,+1 Lap,1:20.551,207.952,187.0,0,1.0
12,2020,6,sainz,Sainz,Carlos,McLaren,mclaren,8,+1 Lap,1:20.268,208.685,444.0,0,0.0
12,2020,7,perez,Pérez,Sergio,Racing Point,racing_point,6,+1 Lap,1:20.802,207.306,1122.0,0,0.0
