Race ID,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph)
18,10,ericsson,Ericsson,Marcus,Sauber,sauber,1,+1 Lap,1:39.569,199.327
18,11,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,+1 Lap,1:39.915,198.636
18,12,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,+1 Lap,1:40.098,198.273
18,13,sirotkin,Sirotkin,Sergey,Williams,williams,0,+1 Lap,1:39.240,199.987
18,14,stroll,Stroll,Lance,Williams,williams,0,+2 Laps,1:39.646,199.173
18,15,leclerc,Leclerc,Charles,Sauber,sauber,0,Collision damage,1:40.522,197.437
18,16,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,0,Battery,1:40.433,197.612
18,17,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Collision damage,1:41.982,194.610
18,18,alonso,Alonso,Fernando,McLaren,mclaren,0,Collision,1:40.933,196.633
18,19,ocon,Ocon,Esteban,Force India,force_india,0,Disqualified,,
18,20,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Disqualified,,
19,1,max_verstappen,Verstappen,Max,Red Bull,red_bull,25,Finished,1:19.186,195.670
19,2,vettel,Vettel,Sebastian,Ferrari,ferrari,18,Finished,1:19.522,194.844
19,3,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,15,Finished,1:20.334,192.874
19,4,hamilton,Hamilton,Lewis,Mercedes,mercedes,12,Finished,1:20.728,191.933
19,5,bottas,Bottas,Valtteri,Mercedes,mercedes,10,+1 Lap,1:18.741,196.776
19,6,hulkenberg,Hülkenberg,Nico,Renault,renault,8,+2 Laps,1:20.637,192.150
19,7,leclerc,Leclerc,Charles,Sauber,sauber,6,+2 Laps,1:20.537,192.388
19,8,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,4,+2 Laps,1:21.921,189.138
19,9,ericsson,Ericsson,Marcus,Sauber,sauber,2,+2 Laps,1:22.440,187.947
19,10,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,1,+2 Laps,1:22.755,187.232
19,11,ocon,Ocon,Esteban,Force India,force_india,0,+2 Laps,1:22.629,187.517
19,12,stroll,Stroll,Lance,Williams,williams,0,+2 Laps,1:22.983,186.717
19,13,sirotkin,Sirotkin,Sergey,Williams,williams,0,+2 Laps,1:22.640,187.492
19,14,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+2 Laps,1:22.438,187.952
19,15,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,+2 Laps,1:21.874,189.246
19,16,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+3 Laps,1:21.370,190.419
19,17,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,0,Engine,1:19.462,194.991
19,18,perez,Pérez,Sergio,Force India,force_india,0,Brakes,1:23.545,185.461
19,19,sainz,Sainz,Carlos,Renault,renault,0,Suspension,1:22.386,188.070
