Constructor,Race ID,Year,Constructor ID,Status,Status_value,StatusComponent,Round,Mean,StdDev,PitStopComponent,ConstructorConfidence
AlphaTauri,13,2020,alphatauri,Finished Water pressure,1.1,-1.2020918338451463,13,30.043,0.3309,-0.088,0.106
AlphaTauri,13,2021,alphatauri,+1 Lap Power Unit,0.8,-1.8874172520336154,13,19.438,0.0,-0.101,0.191
AlphaTauri,13,2022,alphatauri,+1 Lap +2 Laps,1.6,-0.059882803531030954,13,21.724,0.1242,-0.019,0.001
AlphaTauri,14,2020,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,14,23.463,0.2021,-0.06,0.004
AlphaTauri,14,2022,alphatauri,Finished Finished,2.0,0.853884420720261,14,25.642,0.1336,-0.039,-0.033
AlphaTauri,15,2020,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,15,21.308,3.234,-0.111,-0.044
AlphaTauri,15,2021,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,15,29.831,0.2455,-0.079,0.005
AlphaTauri,15,2022,alphatauri,Finished Differential,1.0,-1.4305336399079696,15,18.756,0.0378,0.25,-0.358
AlphaTauri,16,2020,alphatauri,Finished Finished,2.0,0.853884420720261,16,24.662,0.2883,-0.078,-0.067
AlphaTauri,16,2021,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,16,26.918,0.0,-0.105,-0.042
AlphaTauri,16,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,16,24.808,0.0297,0.236,0.094
AlphaTauri,17,2020,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,17,22.931,0.0,-0.103,-0.041
AlphaTauri,17,2021,alphatauri,+1 Lap Suspension,0.8,-1.8874172520336154,17,23.768,0.0,-0.103,0.194
AlphaTauri,17,2022,alphatauri,Finished Accident,1.6,-0.059882803531030954,17,30.437,0.0,-0.106,0.006
AlphaTauri,18,2021,alphatauri,Finished Collision,1.6,-0.059882803531030954,18,22.549,0.0,-0.103,0.006
AlphaTauri,18,2022,alphatauri,Finished Finished,2.0,0.853884420720261,18,19.462,18.9741,-0.114,-0.097
AlphaTauri,19,2021,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,19,20.954,4.1005,-0.111,0.007
AlphaTauri,19,2022,alphatauri,Finished Finished,2.0,0.853884420720261,19,24.879,2.0135,-0.109,-0.093
AlphaTauri,20,2021,alphatauri,+1 Lap +1 Lap,1.6,-0.059882803531030954,20,26.018,0.5282,-0.096,0.006
AlphaTauri,20,2022,alphatauri,+1 Lap Collision damage,0.8,-1.8874172520336154,20,25.818,0.0,-0.104,0.196
AlphaTauri,21,2021,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,21,16.044,0.0,-0.098,-0.039
AlphaTauri,21,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,21,23.43,0.1732,-0.051,-0.02
AlphaTauri,22,2021,alphatauri,Finished Finished,2.0,0.853884420720261,22,22.104,0.2683,-0.071,-0.061
AlphaTauri,22,2022,alphatauri,Finished +1 Lap,1.8,0.39700080859461506,22,21.891,0.2372,-0.065,-0.026
Alpine F1 Team,1,2021,alpine,+1 Lap Brakes,0.8,-1.8874172520336154,1,24.711,0.4091,-0.089,0.168
Alpine F1 Team,1,2022,alpine,Finished Finished,2.0,0.853884420720261,1,26.538,1.9612,-0.109,-0.093
Alpine F1 Team,2,2021,alpine,Finished Finished,2.0,0.853884420720261,2,30.802,0.0561,0.035,0.03
Alpine F1 Team,2,2022,alpine,Finished Water pump,1.6,-0.059882803531030954,2,21.342,0.0,-0.102,0.006
Alpine F1 Team,3,2021,alpine,Finished Finished,2.0,0.853884420720261,3,21.605,0.3412,-0.079,-0.067
Alpine F1 Team,3,2022,alpine,Finished +1 Lap,1.8,0.39700080859461506,3,18.862,0.1421,-0.018,-0.007
Alpine F1 Team,4,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,4,22.42,0.0,-0.103,0.006
Alpine F1 Team,4,2022,alpine,+1 Lap Collision damage,0.8,-1.8874172520336154,4,31.409,0.0,-0.106,0.2
Alpine F1 Team,5,2021,alpine,+1 Lap +1 Lap,1.6,-0.059882803531030954,5,23.869,0.0,-0.104,0.006
Alpine F1 Team,5,2022,alpine,Finished Finished,2.0,0.853884420720261,5,20.328,0.0,-0.102,-0.087
Alpine F1 Team,6,2021,alpine,Finished Turbo,1.2,-0.9736500277823235,6,20.076,0.1308,-0.016,0.016
Alpine F1 Team,6,2022,alpine,Finished +1 Lap,1.8,0.39700080859461506,6,22.141,0.163,-0.043,-0.017
Alpine F1 Team,7,2021,alpine,Finished +1 Lap,1.8,0.39700080859461506,7,30.748,0.0,-0.106,-0.042
Alpine F1 Team,7,2022,alpine,Finished Finished,2.0,0.853884420720261,7,24.7,0.0,-0.104,-0.089
