Constructor,Race ID,Year,status_value,StatusComponent,Round,Mean,StdDev,intermediate,PitStopComponent,ConstructorConfidance
Ferrari,16,2021,2.0,1.0,16,23.335500000000003,0.0049497474683062,0.11550483204665936,7.796,15.592
Ferrari,17,2018,2.0,1.0,17,22.7645,0.0,22.7645,0.04,0.08
Ferrari,17,2019,2.0,1.0,17,23.71925,0.7505938482295205,17.803523134618054,0.051,0.102
Ferrari,17,2020,2.0,1.0,17,22.026,0.0,22.026,0.041,0.082
Ferrari,17,2021,2.0,1.0,17,24.584,0.0,24.584,0.037,0.074
Ferrari,17,2022,2.0,1.0,17,29.704,0.0,29.704,0.03,0.06
Ferrari,18,2018,2.0,1.0,18,24.0815,0.0,24.0815,0.037,0.074
Ferrari,18,2019,2.0,1.0,18,22.36025,0.0738926586339947,1.6522583202207801,0.545,1.09
Ferrari,18,2021,2.0,1.0,18,22.3505,0.0,22.3505,0.04,0.08
Ferrari,18,2022,2.0,1.0,18,216.93249999999998,272.5394595659498,59122.6663122904,0.0,0.0
Ferrari,19,2018,2.0,1.0,19,22.117250000000002,0.31148053711267426,6.889092909455296,0.131,0.262
Ferrari,19,2019,2.0,1.0,19,24.615,0.10040916292848809,2.4715715454847342,0.364,0.728
Ferrari,19,2021,2.0,1.0,19,18.217000000000002,0.0,18.217000000000002,0.049,0.098
Ferrari,19,2022,2.0,1.0,19,24.307,0.0,24.307,0.037,0.074
Ferrari,20,2018,2.0,1.0,20,22.691499999999998,0.04666904755831325,1.058990692669465,0.85,1.7
Ferrari,20,2019,2.0,1.0,20,23.251,0.0,23.251,0.039,0.078
Ferrari,20,2021,2.0,1.0,20,25.814749999999997,0.19127238431096186,4.937648782891402,0.182,0.364
Ferrari,20,2022,2.0,1.0,20,22.534,0.0,22.534,0.04,0.08
Ferrari,21,2018,0.09999999999999998,0.525,21,22.63,0.0,22.63,0.04,0.003999999999999999
Ferrari,21,2019,0.09999999999999998,0.525,21,23.11225,1.383454417391481,31.974744358356254,0.028,0.0027999999999999995
Ferrari,21,2021,0.09999999999999998,0.525,21,1010.4365,0.0,1010.4365,0.001,9.999999999999998e-05
Ferrari,21,2022,0.09999999999999998,0.525,21,24.138,0.1555634918610409,3.7549915665418054,0.24,0.023999999999999994
Force India,1,2018,2.0,1.0,1,22.0905,0.0,22.0905,0.041,0.082
Force India,1,2019,2.0,1.0,1,23.234,0.0,23.234,0.039,0.078
Force India,1,2020,2.0,1.0,1,20.57375,2.0636911408929395,42.45786560994611,0.021,0.042
Force India,1,2021,2.0,1.0,1,24.44875,0.30653078964436925,7.494294643317772,0.12,0.24
Force India,1,2022,2.0,1.0,1,26.274,2.108592421498285,55.40115728244594,0.016,0.032
Force India,2,2018,-0.4,0.4,2,24.746,0.15485638507985344,3.832076105186053,0.235,-0.094
Force India,2,2019,-0.4,0.4,2,26.966999999999995,0.23900209204105,6.4451694160709945,0.14,-0.05600000000000001
Force India,2,2020,-0.4,0.4,2,22.761,0.0,22.761,0.04,-0.016
Force India,2,2021,-0.4,0.4,2,37.67383333333333,0.05605874894548844,2.111947964647507,0.426,-0.1704
Force India,2,2022,-0.4,0.4,2,20.811,0.0,20.811,0.043,-0.0172
Force India,3,2018,2.0,1.0,3,22.776999999999997,0.4122432534317566,9.389664583415119,0.096,0.192
Force India,3,2019,2.0,1.0,3,23.733,0.0,23.733,0.038,0.076
Force India,3,2020,2.0,1.0,3,23.16675,0.8559527586263156,19.829643570906196,0.045,0.09
Force India,3,2021,2.0,1.0,3,21.876250000000002,0.4154252339470963,9.087946274135167,0.099,0.198
Force India,3,2022,2.0,1.0,3,18.281,0.0,18.281,0.049,0.098
Force India,4,2018,0.6,0.65,4,27.1415,1.368251621595971,37.136401387547046,0.024,0.0144
Force India,4,2019,0.6,0.65,4,20.939,0.0,20.939,0.043,0.025799999999999997
Force India,4,2020,0.6,0.65,4,30.768,0.0,30.768,0.029,0.0174
Force India,4,2021,0.6,0.65,4,22.59,0.0,22.59,0.04,0.024
Force India,4,2022,0.6,0.65,4,30.702749999999998,0.261275955648429,8.021890347284803,0.112,0.0672
Force India,5,2018,-1.0,0.25,5,35.125,0.0692964645562809,2.4340383175393665,0.37,-0.37
Force India,5,2019,-1.0,0.25,5,22.8385,0.0813172798364543,1.8571646955448615,0.485,-0.485
Force India,5,2020,-1.0,0.25,5,28.093,0.0,28.093,0.032,-0.032
