Round,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
21,Max,Verstappen,Red Bull,5,1:08.205,1:08.017,1:07.778
21,Daniel,Ricciardo,Red Bull,6,1:08.544,1:08.055,1:07.780
21,Marcus,Ericsson,Sauber,7,1:08.754,1:08.579,1:08.296
21,Charles,Leclerc,Sauber,8,1:08.667,1:08.335,1:08.492
21,Romain,Grosjean,Haas F1 Team,9,1:08.735,1:08.239,1:08.517
21,Pierre,Gasly,Toro Rosso,10,1:09.046,1:08.616,1:09.029
21,Kevin,Magnussen,Haas F1 Team,11,1:08.474,1:08.659,
21,Sergio,Pérez,Force India,12,1:09.217,1:08.741,
21,Esteban,Ocon,Force India,13,1:09.264,1:08.770,
21,Nico,Hülkenberg,Renault,14,1:09.009,1:08.834,
21,Sergey,Sirotkin,Williams,15,1:09.259,1:10.381,
21,Carlos,Sainz,Renault,16,1:09.269,,
21,Brendon,Hartley,Toro Rosso,17,1:09.280,,
21,Fernando,Alonso,McLaren,18,1:09.402,,
21,Lance,Stroll,Williams,19,1:09.441,,
21,Stoffel,Vandoorne,McLaren,20,1:09.601,,
